"","Gene.stable.ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.name"
"1","ENSAMXG00000000017",143.193580965217,-0.720470490171132,0.25213802691053,-2.85744478529924,0.00427066928520725,0.0291695754313321,"epas1a"
"2","ENSAMXG00000000055",1334.03856515304,-0.525225789387846,0.107700633069189,-4.87671961083488,1.07864587627649e-06,2.84501329788335e-05,"vim"
"3","ENSAMXG00000000061",1117.73028095148,-0.379779371129232,0.111655084850939,-3.40136207532548,0.000670509542403834,0.00666926121682133,"gdpd5b"
"4","ENSAMXG00000000165",430.516487439629,-0.362498363779228,0.130196179092956,-2.78424732818323,0.00536521052205162,0.0344965145678098,"cnot10"
"5","ENSAMXG00000000175",250.343472986517,-0.434395779391595,0.160639060300736,-2.70417281188244,0.00684746674361397,0.0417847415875316,"efhd2"
"6","ENSAMXG00000000186",112.995197858051,-0.852609556970911,0.234162319424901,-3.64110485010956,0.000271470542599012,0.00322972932772938,"sema3ga"
"7","ENSAMXG00000000211",904.156513051559,-0.415495303350534,0.109867311450421,-3.78179185296647,0.000155703532085834,0.00204820270702124,"CLPTM1L"
"8","ENSAMXG00000000491",4027.92311707715,-0.476906735850026,0.144938772438315,-3.2904013731246,0.00100044566326999,0.00919819647076451,"RIMS1"
"9","ENSAMXG00000000545",147.075083844606,-0.562896122126226,0.192167411370757,-2.92919656934029,0.00339839433580008,0.0245724418030372,"zgc:55558"
"10","ENSAMXG00000000553",37.8338372774436,-0.916090523184295,0.332973625200265,-2.75124050030485,0.00593700378030199,0.0371755275903568,"slc6a16a"
"11","ENSAMXG00000000555",1342.07528081789,-0.273479194686366,0.0980415163850799,-2.78942232607067,0.00528021604905574,0.0341069018956142,"grm1b"
"12","ENSAMXG00000000587",1269.31529380961,-0.827193434889399,0.189065185942212,-4.37517584618795,1.21334625695953e-05,0.000233684081061954,"sqor"
"13","ENSAMXG00000000686",164.130911702315,-1.65313127598378,0.339269999947795,-4.87261259833805,1.10132049690789e-06,2.89118174266507e-05,"duox"
"14","ENSAMXG00000000694",175.52878135367,-0.445988947011826,0.160647224894909,-2.7762007548128,0.00549982373185291,0.0351464926102219,"TATDN3"
"15","ENSAMXG00000000698",280.696292739592,-0.407294938526733,0.125211209219387,-3.25286323058423,0.00114248472986889,0.0102105388084979,"ppm1h"
"16","ENSAMXG00000000714",1839.87586173538,-0.452567470200684,0.120649995123066,-3.75107740152871,0.000176076329069931,0.00225471787797565,"hivep2b"
"18","ENSAMXG00000000851",1991.49539575089,-0.396572258376958,0.0970924806496658,-4.08447961905404,4.41757033633811e-05,0.000719463518369629,"slc12a5a"
"19","ENSAMXG00000000873",219.441453128681,-1.43434125950408,0.228141463329681,-6.28706960396478,3.23514353633614e-10,2.032566772361e-08,"cyp24a1"
"21","ENSAMXG00000000931",71.4478040625112,-0.761834972021366,0.266426255203405,-2.85945907035227,0.00424364176140653,0.029020420117242,"sema3d"
"22","ENSAMXG00000000968",168.724013862193,-1.25275323494037,0.198941643015713,-6.2970890154025,3.03287133445057e-10,1.91264724193264e-08,"GAN"
