"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSAMXG00000000686",164.130911702315,-1.65313127598378,0.339269999947795,-4.87261259833805,1.10132049690789e-06,2.89118174266507e-05
"ENSAMXG00000000821",26.9389901287936,-1.42060542126892,0.440597748431389,-3.22426845422279,0.00126294944016658,0.0110863301197249
"ENSAMXG00000000873",219.441453128681,-1.43434125950408,0.228141463329681,-6.28706960396478,3.23514353633614e-10,2.032566772361e-08
"ENSAMXG00000000968",168.724013862193,-1.25275323494037,0.198941643015713,-6.2970890154025,3.03287133445057e-10,1.91264724193264e-08
"ENSAMXG00000001634",32.5412380867782,-2.22367604770139,0.547656365131562,-4.06034913365282,4.89993903138194e-05,0.000782823592870782
"ENSAMXG00000001648",139.721623205223,-1.05180364192001,0.242564055852379,-4.33618921082075,1.44974163114174e-05,0.000274176052563729
"ENSAMXG00000001671",45.855335169703,-8.64632106953843,1.22300298359919,-7.06974650551797,1.55216976503754e-12,1.48786558905741e-10
"ENSAMXG00000001785",6.69813672515428,-4.84688040049049,1.71959170089264,-2.81862281492431,0.00482301561673993,0.0319030311399102
"ENSAMXG00000001817",141.2925768462,-1.13598380093196,0.214614643548063,-5.29313276182649,1.2023856366128e-07,4.19814777872449e-06
"ENSAMXG00000001966",88.4217430061315,-8.6329919687325,1.20172270212375,-7.18384695027882,6.77767346428582e-13,6.84912484116835e-11
"ENSAMXG00000002119",42.0249445373644,-1.05830919045801,0.339735734183355,-3.11509530489026,0.00183885485816914,0.0150472147540426
"ENSAMXG00000002249",5.22525933305398,-3.56392808791053,1.28814713193829,-2.76670886387633,0.005662529908149,0.0358970134055054
"ENSAMXG00000002428",166.62126405447,-1.11885681129075,0.238705323485825,-4.68718834985344,2.76984031850387e-06,6.42656588421887e-05
"ENSAMXG00000002544",29.9165306630645,-1.40536061900754,0.443617430575367,-3.1679562662468,0.0015351461179331,0.0129929748377032
"ENSAMXG00000002830",79.4716388300183,-1.20763030892757,0.238304967558342,-5.06758344696243,4.02897893908236e-07,1.20905405551174e-05
"ENSAMXG00000003086",55.4214521645161,-1.71946410167666,0.609011091621862,-2.82337074863044,0.00475215827711249,0.0315755291398235
"ENSAMXG00000003140",10.4584131988934,-3.23506740705547,0.965625050411607,-3.35023144405428,0.000807440636288612,0.00773105974528622
"ENSAMXG00000003253",66.5394913046395,-1.21046285608194,0.303083401481069,-3.99382760707715,6.50151422329055e-05,0.000987888596881331
"ENSAMXG00000003456",11.0788701165461,-1.88177743010875,0.638348365797723,-2.94788477723625,0.00319956295878125,0.0233664208243602
"ENSAMXG00000003513",30.1538042709837,-3.63031746269135,0.570280006548041,-6.36585084696552,1.9421009091943e-10,1.27759775496997e-08
"ENSAMXG00000003543",201.935041927198,-1.47926298572972,0.193006634139305,-7.66431160424283,1.79792904923114e-14,2.267688706831e-12
