"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSAMXG00000000686",164.130911702315,-1.65313048569959,0.339270003986958,-4.87261021096089,1.10133380994246e-06,2.8912166919851e-05
"ENSAMXG00000000821",26.9389901287936,-1.42060459225572,0.440597757633224,-3.22426650531959,0.0012629580360231,0.011086405575242
"ENSAMXG00000000873",219.441453128681,-1.43434087688188,0.228141464120331,-6.28706790504926,3.23517892646502e-10,2.03258900717044e-08
"ENSAMXG00000000968",168.724013862193,-1.25275295735857,0.198941643175214,-6.29708761506122,3.03289872272364e-10,1.91266451404846e-08
"ENSAMXG00000001634",32.5412380867782,-2.22367480042422,0.547656389357992,-4.0603466765557,4.89999059942588e-05,0.000782831831479706
"ENSAMXG00000001648",139.721623205223,-1.05180323861005,0.242564056728737,-4.33618753245994,1.44975269503474e-05,0.000274178144974157
"ENSAMXG00000001671",45.855335169703,-8.64632410000376,1.22300469131858,-7.06973911169689,1.55225246695071e-12,1.48794486474847e-10
"ENSAMXG00000001785",6.69813672515428,-4.84688097380371,1.71959440641954,-2.81861871363938,0.00482307723466014,0.0319034387269021
"ENSAMXG00000001817",141.2925768462,-1.13598348624469,0.214614643848391,-5.29313128812949,1.20239533010921e-07,4.19817983848987e-06
"ENSAMXG00000001966",88.4217430061315,-8.63299369724403,1.20172437504091,-7.1838383880248,6.77809816324425e-13,6.84955401737483e-11
"ENSAMXG00000002119",42.0249445373644,-1.05830860281987,0.339735736702667,-3.11509355209837,0.00183886578550097,0.0150473041715994
"ENSAMXG00000002249",5.22525933305398,-3.56392777645948,1.28814868228498,-2.76670529223197,0.00566259194049713,0.0358968593244074
"ENSAMXG00000002428",166.62126405447,-1.11885640708518,0.238705324404286,-4.68718663849416,2.76986347195528e-06,6.42661960470952e-05
"ENSAMXG00000002544",29.9165306630645,-1.40535974298253,0.443617439964494,-3.16795422446649,0.00153515689926202,0.0129930660873463
"ENSAMXG00000002830",79.4716388300183,-1.20762997215211,0.238304967586079,-5.0675820331605,4.02900885496002e-07,1.20906303295088e-05
"ENSAMXG00000003086",55.4214521645161,-1.71946214463487,0.609011121060481,-2.8233673986786,0.00475220793729387,0.0315756136772385
"ENSAMXG00000003140",10.4584131988934,-3.23506585886154,0.965625417912003,-3.35022856570698,0.000807449027288244,0.00773114008719195
"ENSAMXG00000003253",66.5394913046395,-1.2104623330429,0.303083403171586,-3.99382585907424,6.50156217920158e-05,0.000987895883660384
"ENSAMXG00000003456",11.0788701165461,-1.88177634099908,0.638348425200434,-2.94788279677861,0.00319958345586188,0.0233665705146204
