,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSAMXG00000000074,68.47991349,-1.262273653,0.439448713,-2.872402664,0.004073635,0.026962817
ENSAMXG00000000326,36.98948513,-1.524876797,0.477105232,-3.196101602,0.001392981,0.011602635
ENSAMXG00000000399,13.21658031,-2.996450141,0.897686365,-3.337969982,0.000843929,0.007830743
ENSAMXG00000000509,7.695609385,-3.692680189,1.294685638,-2.852182863,0.004342011,0.028234286
ENSAMXG00000000516,19.97972416,-1.266357619,0.426299875,-2.970579382,0.002972386,0.020931538
ENSAMXG00000000548,28.95574123,-1.352087531,0.365980937,-3.694420644,0.000220389,0.00262261
ENSAMXG00000000553,32.92819236,-1.081890724,0.335893806,-3.22093086,0.00127775,0.010864112
ENSAMXG00000000686,151.3461889,-1.398881822,0.341216922,-4.09968478,4.13713242404913e-05,0.000638952
ENSAMXG00000000873,181.8739994,-1.847066898,0.210896181,-8.758180869,1.98426594611982e-18,2.84360573663171e-16
ENSAMXG00000000943,19.34661401,-1.421779527,0.441403276,-3.221044346,0.001277244,0.010864112
ENSAMXG00000000968,152.3543541,-1.215644142,0.162708452,-7.471303003,7.94045754317656e-14,7.1579382594861e-12
ENSAMXG00000001109,3.970744884,-4.46078912,1.528405114,-2.91859081,0.003516174,0.02396573
ENSAMXG00000001295,41.35194021,-1.051205848,0.292291463,-3.596430204,0.000322614,0.003582298
ENSAMXG00000001361,24.41339824,-1.297204455,0.423492782,-3.063108775,0.002190504,0.01666433
ENSAMXG00000001415,5.568954441,-2.205906915,0.825966516,-2.67069775,0.007569377,0.04314694
ENSAMXG00000001634,29.06854256,-1.99261036,0.507671242,-3.925001452,8.67292149780953e-05,0.001199826
ENSAMXG00000001671,38.01067411,-8.524526,1.065713275,-7.998892571,1.25543188884756e-15,1.4319609850549e-13
ENSAMXG00000001966,73.16790395,-9.472812666,1.044254663,-9.071362571,1.17537832621159e-19,1.93211454858723e-17
ENSAMXG00000002119,34.86669934,-1.465331401,0.313260385,-4.677678606,2.90140825938096e-06,6.24491813671894e-05
ENSAMXG00000002249,4.546569985,-3.229537632,1.114487164,-2.897779118,0.003758152,0.025235454
ENSAMXG00000002544,26.90904449,-1.332507385,0.4060197,-3.281878647,0.00103118,0.00913354
ENSAMXG00000002657,2.186528878,-4.363139359,1.610681481,-2.708877832,0.006751119,0.03949626
ENSAMXG00000003086,45.80018646,-2.14508699,0.590268666,-3.634085822,0.000278968,0.003171157
ENSAMXG00000003097,28.5639231,-1.448004278,0.523819481,-2.764319255,0.00570417,0.034690539
ENSAMXG00000003140,8.782196101,-3.49491805,0.848583802,-4.118530242,3.81296536251087e-05,0.000594716
ENSAMXG00000003253,54.63471115,-1.676976406,0.293163196,-5.720282862,1.06346857434161e-08,4.11805486974268e-07
ENSAMXG00000003456,10.19455512,-1.587266398,0.550300535,-2.88436281,0.003922066,0.026210156
ENSAMXG00000003513,24.8321799,-4.221541596,0.591502128,-7.136984626,9.54005108328764e-13,7.47467460343383e-11
ENSAMXG00000003543,176.6000591,-1.551716843,0.21520195,-7.210514804,5.57407362775136e-13,4.60396514859641e-11
ENSAMXG00000003656,95.28882816,-3.526519844,0.394636994,-8.936110644,4.03108347127939e-19,6.03474790740549e-17
ENSAMXG00000003658,43.62491311,-2.771248776,0.481364838,-5.757065237,8.55888409547228e-09,3.3687044513799e-07
ENSAMXG00000003768,6.697888902,-3.412622943,1.115059062,-3.060486266,0.002209779,0.016772913
ENSAMXG00000003932,213.4747129,-1.747218996,0.220388971,-7.92788762,2.22904882432227e-15,2.42691309333841e-13
ENSAMXG00000003940,4.335078983,-4.585370384,1.622485362,-2.826139756,0.00471127,0.03002932
ENSAMXG00000004033,36.40167073,-1.244406314,0.400766586,-3.105065037,0.001902372,0.014961102
ENSAMXG00000004068,6.068487803,-2.157039368,0.799926772,-2.696546039,0.007006271,0.040676644
