,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSAMXG00000000017,122.3356607,-1.067072175,0.20456137,-5.216391429,1.82442430041141e-07,2.78339839385096e-05
ENSAMXG00000000237,31.72867911,-1.382424887,0.462341799,-2.990049547,0.002789322,0.044881751
ENSAMXG00000000412,70.54113681,-1.098655465,0.304456448,-3.608580051,0.000307878,0.009913908
ENSAMXG00000000449,10.29584849,-2.27044193,0.593504663,-3.825482882,0.000130516,0.005285898
ENSAMXG00000000686,157.0837815,-1.300695908,0.32075357,-4.055125275,5.01074408325567e-05,0.002631931
ENSAMXG00000000968,152.6589894,-1.289938109,0.17217366,-7.492075796,6.77927508915974e-14,6.26644286770919e-11
ENSAMXG00000001044,21.48171762,-1.752066778,0.575054028,-3.046786374,0.00231302,0.039956108
ENSAMXG00000001671,57.27160526,-1.075828491,0.345834768,-3.110816469,0.001865709,0.034602213
ENSAMXG00000002083,151.0312779,-1.077971875,0.202892931,-5.313008543,1.0782998079183e-07,1.80259608315193e-05
ENSAMXG00000002198,34.64370924,-1.08120504,0.325462634,-3.322055831,0.000893568,0.021178777
ENSAMXG00000003218,464.0746793,-1.004327429,0.300724171,-3.339696392,0.0008387,0.020213705
ENSAMXG00000003513,26.99252777,-3.028471299,0.482802895,-6.272686699,3.54870532756029e-10,1.46748303992849e-07
ENSAMXG00000003656,126.7453722,-1.245120421,0.321322448,-3.874987354,0.00010663,0.004667375
ENSAMXG00000003658,48.33637189,-1.9907189,0.442489572,-4.498905795,6.83041146737419e-06,0.000536665
ENSAMXG00000004251,10.25946151,-2.336171045,0.669648637,-3.488651983,0.000485463,0.013920733
ENSAMXG00000004600,13.71707036,-2.860319858,0.801022829,-3.570834382,0.000355846,0.011072796
ENSAMXG00000004854,177.3537195,-1.138330843,0.308516381,-3.689693357,0.000224525,0.007928491
ENSAMXG00000005061,68.98584516,-2.492022783,0.800541748,-3.112920454,0.001852459,0.034489984
ENSAMXG00000005590,13.39295246,-3.960230978,1.156641626,-3.42390494,0.000617282,0.016320627
ENSAMXG00000005682,58.7667724,-1.471156307,0.290435263,-5.065350164,4.07650315261755e-07,5.47505731113096e-05
ENSAMXG00000005705,55.4734213,-1.060809668,0.262275189,-4.044643604,5.24027798400111e-05,0.00272668
ENSAMXG00000006024,5.263226221,-3.108775714,0.959067361,-3.241457109,0.001189203,0.025531682
