,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSAMXG00000000907,150.6562017,1.498737822,0.265842756,5.637685395,1.72351009769659e-08,6.36521890045787e-07
ENSAMXG00000001046,415.3564324,1.277091693,0.152425483,8.3784658,5.36220586791502e-17,7.07937840845127e-15
ENSAMXG00000001486,18.59307465,1.583635671,0.430179579,3.681336234,0.000232015,0.002722318
ENSAMXG00000001888,2.228724008,4.028764249,1.449484389,2.779446456,0.005445163,0.033516237
ENSAMXG00000001906,89.67849104,1.105047937,0.247136989,4.47139839,7.77097804105412e-06,0.00014891
ENSAMXG00000002003,15.2436191,1.884130002,0.474994087,3.966638853,7.28933164676701e-05,0.001031394
ENSAMXG00000002024,21.12479475,3.50893624,0.504116229,6.960569888,3.38898985645868e-12,2.38752911442196e-10
ENSAMXG00000002114,7.388868197,2.604972475,0.739601875,3.522128002,0.000428097,0.004517249
ENSAMXG00000002138,15.8453221,3.185755212,0.777208744,4.098969857,4.14993073144687e-05,0.000638952
ENSAMXG00000002153,44.73194509,1.796239279,0.293593664,6.118113227,9.46897792014524e-10,4.52325791416168e-08
ENSAMXG00000002176,28.45841757,1.099235757,0.327434285,3.357118684,0.000787593,0.00736918
ENSAMXG00000002229,17.7477862,1.983502658,0.520434038,3.811246984,0.000138268,0.001765675
ENSAMXG00000002907,186.0854579,2.535202752,0.230567694,10.99548122,4.01764697475247e-28,1.22479794228499e-25
ENSAMXG00000002974,79.33828321,1.445398685,0.26408485,5.473235913,4.41891213126304e-08,1.54358124385182e-06
ENSAMXG00000003134,521.2002818,1.291848884,0.371024717,3.481840499,0.00049798,0.005094347
ENSAMXG00000003208,414.6852544,1.300391582,0.124611529,10.43556393,1.70597761121952e-25,4.61356880763188e-23
ENSAMXG00000003217,28.3823065,2.718751095,0.459171286,5.920995447,3.19998720619641e-09,1.36524645003296e-07
ENSAMXG00000003540,44.27772848,1.041980608,0.266862228,3.904563852,9.43954679634443e-05,0.001287818
ENSAMXG00000003606,12.98755808,1.369575088,0.476820926,2.872304912,0.004074896,0.026962817
ENSAMXG00000003670,68.1478895,1.210794763,0.272877951,4.43712934,9.11665192188704e-06,0.000172138
ENSAMXG00000003869,83.3095657,1.060512846,0.270297809,3.923497749,8.72725813698615e-05,0.001205354
