,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSAMXG00000000730,101.358832,1.504071059,0.259981328,5.785304154,7.2381245146825e-09,1.72333164581395e-06
ENSAMXG00000000836,20.97855788,1.417802044,0.449952752,3.151002053,0.001627113,0.031683347
ENSAMXG00000000991,53.05980367,1.478847812,0.494172962,2.992571276,0.002766381,0.044631319
ENSAMXG00000002235,31.3138921,1.227615049,0.394680626,3.110401085,0.001868335,0.034602213
ENSAMXG00000003411,14.98655577,1.80923021,0.508439734,3.558396576,0.000373126,0.011421323
ENSAMXG00000003998,304.9301757,1.33118233,0.259622991,5.127366904,2.93822557604942e-07,4.12243541982506e-05
ENSAMXG00000004300,17.35505429,5.330836011,0.877605312,6.074297795,1.24531441920631e-09,3.99364709865468e-07
ENSAMXG00000004726,22.46697869,2.829081626,0.550572706,5.138434209,2.77037151989828e-07,3.96124698941925e-05
ENSAMXG00000005049,30.78293789,7.192802296,1.714960344,4.194150799,2.73895733760246e-05,0.001664481
ENSAMXG00000005227,245.2769884,11.54209481,2.932689281,3.935669177,8.29651951499416e-05,0.00391506
ENSAMXG00000005380,18.05430804,2.249390482,0.738750647,3.044857546,0.002327905,0.040066491
ENSAMXG00000005619,177.2015918,3.819184863,0.285636416,13.37079115,8.95829200828102e-41,4.6923533539376e-37
ENSAMXG00000005644,135.8239136,1.112197846,0.167111778,6.655412692,2.82506218883509e-11,1.43203313662434e-08
ENSAMXG00000005899,51.62552009,1.219142257,0.326340903,3.735793603,0.000187124,0.006838298
ENSAMXG00000006084,23.27769446,1.482223994,0.46376833,3.196044015,0.001393259,0.028396453
ENSAMXG00000006157,11.58084921,2.188243872,0.598483662,3.656313464,0.000255868,0.008711917
ENSAMXG00000007306,585.6024402,1.209905724,0.264730458,4.570330644,4.86955307982458e-06,0.00041587
ENSAMXG00000007472,51.116519,1.10999141,0.299302415,3.708594904,0.000208413,0.00744317
ENSAMXG00000007555,199.3909445,1.084826223,0.194282116,5.583767789,2.35362916968994e-08,4.86643799638259e-06
ENSAMXG00000007909,7.42539144,2.792457565,0.921972698,3.028785529,0.002455389,0.041085044
ENSAMXG00000008075,172.6064128,1.03935372,0.178962037,5.807677072,6.33455433619818e-09,1.56690236459307e-06
ENSAMXG00000008608,277.3272395,1.37243023,0.326710154,4.200757812,2.66023045442025e-05,0.001639328
ENSAMXG00000008725,3.382204813,4.607653924,1.344442172,3.427186397,0.00060987,0.016243223
ENSAMXG00000008970,21.39196992,3.395838662,0.826747557,4.107467427,4.00021169507893e-05,0.002221178
ENSAMXG00000009106,15.31994979,4.760510706,0.809314789,5.882149657,4.04971902125904e-09,1.06062141166774e-06
ENSAMXG00000009429,25.10938923,2.992145789,0.48735662,6.139540673,8.27604324935259e-10,2.76701582170908e-07
ENSAMXG00000010920,25.16896651,1.698170155,0.44059517,3.854264119,0.000116078,0.004915821
ENSAMXG00000010934,21.32749503,1.894505034,0.579613493,3.268566132,0.001080939,0.024196407
ENSAMXG00000010996,4.079096603,4.893872447,1.522494595,3.214377551,0.001307277,0.027172678
ENSAMXG00000011753,60.29921274,1.166354107,0.336505545,3.466076926,0.000528112,0.014714104
ENSAMXG00000012424,9.76079234,2.302928253,0.628573817,3.663735574,0.000248563,0.008584451
ENSAMXG00000012779,114.8547698,1.315480307,0.270948191,4.855099052,1.20326582210038e-06,0.00013603
ENSAMXG00000013113,161.8190344,1.115390377,0.296381134,3.763364963,0.000167642,0.006363117
ENSAMXG00000013765,496.801592,2.099127532,0.314848864,6.667095777,2.60914834640337e-11,1.36667190384608e-08
ENSAMXG00000014005,13.60020872,3.039419945,0.729036402,4.169092155,3.05815327056896e-05,0.001773278
ENSAMXG00000014209,256.2432331,1.184185268,0.21794513,5.433410082,5.52871494553534e-08,1.0342646030255e-05
ENSAMXG00000014433,151.0896757,1.689007664,0.426970458,3.955795148,7.62805061222441e-05,0.003688221
ENSAMXG00000014756,94.34847273,6.01198855,1.71487906,3.505779906,0.000455272,0.013223913
ENSAMXG00000014833,9.51632407,2.449302116,0.829032183,2.954411382,0.003132661,0.048594903
ENSAMXG00000014893,44.24358784,2.073918675,0.464270333,4.467049748,7.93056929012584e-06,0.000612795
ENSAMXG00000014942,72.18800539,1.858094846,0.26572672,6.992502858,2.70025011399974e-12,1.84485783875617e-09
ENSAMXG00000015362,52.72059592,1.333170411,0.433333739,3.076544218,0.002094152,0.037480081
ENSAMXG00000015493,48.6904036,1.63551173,0.50768371,3.221517054,0.001275139,0.026788142
ENSAMXG00000015603,664.420383,1.014666962,0.131886738,7.693472268,1.43194755413077e-14,1.40635149160068e-11
ENSAMXG00000015742,10.95740792,2.993983585,0.864955152,3.461432164,0.00053731,0.014864933
ENSAMXG00000016324,19.05256081,2.659679082,0.525681908,5.059483775,4.20393045720475e-07,5.59835281394199e-05
ENSAMXG00000016794,15.56759966,1.559802061,0.497165274,3.137391412,0.001704584,0.032801417
ENSAMXG00000017551,502.6642998,1.431116393,0.181882604,7.868352215,3.59342708316026e-15,3.76447421231869e-12
ENSAMXG00000017882,32.31495887,1.562920864,0.343533487,4.549544437,5.3762180412695e-06,0.000440791
ENSAMXG00000018232,22.79129694,3.133497278,0.733126503,4.274156324,1.91862394381589e-05,0.001245837
ENSAMXG00000018785,89.45106363,1.384820604,0.355283217,3.897793473,9.70731474685182e-05,0.004403627
ENSAMXG00000018794,57.2251222,1.016336194,0.31256811,3.25156714,0.001147707,0.024807514
ENSAMXG00000018984,5.648406237,3.31613267,0.937032559,3.538972726,0.000401687,0.012023076
ENSAMXG00000019099,822.0136837,1.756201378,0.166977075,10.51761972,7.16610800978645e-26,1.48261730464848e-22
ENSAMXG00000019556,71.89182037,1.559228622,0.42596149,3.660491989,0.000251731,0.008655815
ENSAMXG00000020021,44.41444204,4.605012616,1.083304178,4.250895278,2.12917710143473e-05,0.001360077
ENSAMXG00000020035,18.60061155,1.483767025,0.481167837,3.083678732,0.002044583,0.036787842
ENSAMXG00000020041,70.88015323,1.816034803,0.435590095,4.169137046,3.05755106023589e-05,0.001773278
ENSAMXG00000021613,8.136813476,3.858253023,1.019214272,3.785517069,0.000153389,0.005938711
ENSAMXG00000024989,15.46214235,6.048478361,1.216849663,4.970604457,6.67444905753115e-07,8.52701564959711e-05
ENSAMXG00000025307,44.46131814,1.677157989,0.529969023,3.164634003,0.001552781,0.030538682
ENSAMXG00000025634,59.81585387,1.743887005,0.293822449,5.935172797,2.93536178421152e-09,8.38659546856361e-07
ENSAMXG00000026039,10.2575801,6.962955792,2.307698709,3.017272473,0.002550604,0.042145317
ENSAMXG00000026085,13.38383193,3.294949057,0.877863562,3.753372621,0.000174471,0.006558949
ENSAMXG00000027642,25.35929856,1.333181416,0.35322464,3.774316014,0.000160447,0.006119584
ENSAMXG00000029174,23.42986703,1.930173399,0.468089299,4.123515329,3.73133615517592e-05,0.002079228
ENSAMXG00000029377,52.23200242,2.131029663,0.359768189,5.923340995,3.15465747246476e-09,8.82693228967212e-07
ENSAMXG00000029452,32.0966196,2.647598173,0.753967583,3.511554388,0.000445494,0.013060629
ENSAMXG00000029527,20.86534088,5.473579877,1.751199998,3.125616654,0.001774327,0.033592496
ENSAMXG00000029809,92.84019644,2.371713247,0.7411122,3.200208074,0.001373284,0.02809868
ENSAMXG00000029814,10.90187062,4.147067133,0.887874944,4.670778425,3.00060469938943e-06,0.00028635
