Gene stable ID,Gene name,Gene type
ENSAMXG00000035673,,protein_coding
ENSAMXG00000033062,bloc1s3,protein_coding
ENSAMXG00000030454,slc19a3a,protein_coding
ENSAMXG00000036555,,protein_coding
ENSAMXG00000006345,pde4ca,protein_coding
ENSAMXG00000043573,rab3aa,protein_coding
ENSAMXG00000025929,agtr1a,protein_coding
ENSAMXG00000036673,gyg1a,protein_coding
ENSAMXG00000006359,hltf,protein_coding
ENSAMXG00000036626,slc35g2a,protein_coding
ENSAMXG00000006365,pccb,protein_coding
ENSAMXG00000032232,msl2a,protein_coding
ENSAMXG00000038667,nceh1a,protein_coding
ENSAMXG00000006377,ppp2r3a,protein_coding
ENSAMXG00000033409,si:dkey-10f21.4,protein_coding
ENSAMXG00000038181,cnn3b,protein_coding
ENSAMXG00000006396,,protein_coding
ENSAMXG00000006406,epha4l,protein_coding
ENSAMXG00000038336,pxylp1,protein_coding
ENSAMXG00000033723,slc25a36b,protein_coding
ENSAMXG00000010781,spsb4b,protein_coding
ENSAMXG00000010806,CLSTN2,protein_coding
ENSAMXG00000039784,si:dkey-4c23.5,protein_coding
ENSAMXG00000006332,fndc3ba,protein_coding
ENSAMXG00000029621,,protein_coding
ENSAMXG00000006319,pld1a,protein_coding
ENSAMXG00000006314,tnika,protein_coding
ENSAMXG00000006312,slc2a2,protein_coding
ENSAMXG00000043662,eif5a2,protein_coding
ENSAMXG00000006310,slc7a14a,protein_coding
ENSAMXG00000040638,cldn11a,protein_coding
ENSAMXG00000006305,grin3ba,protein_coding
ENSAMXG00000030466,,protein_coding
ENSAMXG00000038294,,protein_coding
ENSAMXG00000043542,plppr3a,protein_coding
ENSAMXG00000006297,palm1b,protein_coding
ENSAMXG00000006285,ptbp1a,protein_coding
ENSAMXG00000037011,efna2a,protein_coding
ENSAMXG00000030859,,protein_coding
ENSAMXG00000006278,rabggtb,protein_coding
ENSAMXG00000006276,acadm,protein_coding
ENSAMXG00000006259,hectd3,protein_coding
ENSAMXG00000006243,rps8a,protein_coding
ENSAMXG00000041184,,protein_coding
ENSAMXG00000026942,SNORD46,snoRNA
ENSAMXG00000039129,,snoRNA
ENSAMXG00000035659,,snoRNA
ENSAMXG00000041373,,snoRNA
ENSAMXG00000001728,best4,protein_coding
ENSAMXG00000042610,,protein_coding
ENSAMXG00000032459,glis1a,protein_coding
ENSAMXG00000006212,ndc1,protein_coding
ENSAMXG00000029208,yipf1,protein_coding
ENSAMXG00000041833,zgc:56628,protein_coding
ENSAMXG00000006140,pkn2,protein_coding
ENSAMXG00000038648,gtf2b,protein_coding
ENSAMXG00000025925,lrrc8da,protein_coding
ENSAMXG00000035327,znf644a,protein_coding
ENSAMXG00000006108,hfm1,protein_coding
ENSAMXG00000006102,cldn18,protein_coding
ENSAMXG00000025924,SOX14,protein_coding
ENSAMXG00000039525,sept2,protein_coding
ENSAMXG00000043454,stk25b,protein_coding
ENSAMXG00000006081,bokb,protein_coding
ENSAMXG00000006078,thap4,protein_coding
ENSAMXG00000006066,zgc:161973,protein_coding
ENSAMXG00000006054,agxtb,protein_coding
ENSAMXG00000005950,kif1ab,protein_coding
ENSAMXG00000005914,espnlb,protein_coding
ENSAMXG00000005911,rab6bb,protein_coding
ENSAMXG00000029147,aire,protein_coding
ENSAMXG00000037844,amotl2b,protein_coding
ENSAMXG00000005851,myo7bb,protein_coding
ENSAMXG00000042872,,protein_coding
ENSAMXG00000005800,sap130b,protein_coding
ENSAMXG00000005765,mllt1b,protein_coding
ENSAMXG00000005757,znf414,protein_coding
ENSAMXG00000034186,tep1,protein_coding
ENSAMXG00000035043,,protein_coding
ENSAMXG00000005705,mknk2a,protein_coding
ENSAMXG00000005682,csnk1g2a,protein_coding
ENSAMXG00000030010,mfsd12a,protein_coding
ENSAMXG00000034043,prrx1a,protein_coding
ENSAMXG00000005640,kifap3b,protein_coding
ENSAMXG00000033851,niban1b,protein_coding
ENSAMXG00000005619,mblac1,protein_coding
ENSAMXG00000005594,rnf2,protein_coding
ENSAMXG00000005578,ivns1abpb,protein_coding
ENSAMXG00000029027,,protein_coding
ENSAMXG00000032845,,protein_coding
ENSAMXG00000005548,arpc5a,protein_coding
ENSAMXG00000005517,pla2g4aa,protein_coding
ENSAMXG00000005495,ptgs2a,protein_coding
ENSAMXG00000035849,pdca,protein_coding
ENSAMXG00000005471,odr4,protein_coding
ENSAMXG00000005429,tpra,protein_coding
ENSAMXG00000037159,,protein_coding
ENSAMXG00000005411,prg4a,protein_coding
ENSAMXG00000041881,,protein_coding
ENSAMXG00000043067,dusp12,protein_coding
ENSAMXG00000005386,olfml2bb,protein_coding
ENSAMXG00000032179,si:ch211-267e7.3,protein_coding
ENSAMXG00000036783,,protein_coding
ENSAMXG00000005334,agla,protein_coding
ENSAMXG00000005309,frrs1a,protein_coding
ENSAMXG00000038017,si:ch211-153l6.6,protein_coding
ENSAMXG00000005284,palmda,protein_coding
ENSAMXG00000032691,plppr4a,protein_coding
ENSAMXG00000035365,,protein_coding
ENSAMXG00000016188,acsl3a,protein_coding
ENSAMXG00000040636,,protein_coding
ENSAMXG00000043208,kcne4,protein_coding
ENSAMXG00000032604,,protein_coding
ENSAMXG00000016172,ap1s3a,protein_coding
ENSAMXG00000033913,flj13639,protein_coding
ENSAMXG00000016124,wdfy1,protein_coding
ENSAMXG00000016101,serpine2,protein_coding
ENSAMXG00000029801,prss16,protein_coding
ENSAMXG00000032868,5S_rRNA,rRNA
ENSAMXG00000029873,5S_rRNA,rRNA
ENSAMXG00000033890,,protein_coding
ENSAMXG00000032301,slc6a15,protein_coding
ENSAMXG00000030625,slc6a15,protein_coding
ENSAMXG00000030005,,protein_coding
ENSAMXG00000041666,sars2,protein_coding
ENSAMXG00000005149,med29,protein_coding
ENSAMXG00000005164,rrp8,protein_coding
ENSAMXG00000029268,,protein_coding
ENSAMXG00000037202,,protein_coding
ENSAMXG00000030580,diabloa,protein_coding
ENSAMXG00000030017,,protein_coding
ENSAMXG00000040628,,protein_coding
ENSAMXG00000043774,,protein_coding
ENSAMXG00000006742,nyap2a,protein_coding
ENSAMXG00000006737,irs1,protein_coding
ENSAMXG00000039815,rhbdd1,protein_coding
ENSAMXG00000006614,,protein_coding
ENSAMXG00000035624,,protein_coding
ENSAMXG00000006555,col4a3,protein_coding
ENSAMXG00000030582,sst1.2,protein_coding
ENSAMXG00000007646,si:dkey-260j18.2,protein_coding
ENSAMXG00000007643,slc5a2,protein_coding
ENSAMXG00000025865,FBXO46,protein_coding
ENSAMXG00000007638,coq8b,protein_coding
ENSAMXG00000007632,numbl,protein_coding
ENSAMXG00000007619,si:ch211-11n16.2,protein_coding
ENSAMXG00000030533,,protein_coding
ENSAMXG00000007613,dpf1,protein_coding
ENSAMXG00000026624,7SK,misc_RNA
ENSAMXG00000007611,si:dkey-243k1.3,protein_coding
ENSAMXG00000040334,,protein_coding
ENSAMXG00000007608,,protein_coding
ENSAMXG00000034058,,protein_coding
ENSAMXG00000036822,,protein_coding
ENSAMXG00000044016,,protein_coding
ENSAMXG00000007602,pnkp,protein_coding
ENSAMXG00000042344,,protein_coding
ENSAMXG00000007580,,protein_coding
ENSAMXG00000030620,slc8a2b,protein_coding
ENSAMXG00000040554,,protein_coding
ENSAMXG00000037551,,protein_coding
ENSAMXG00000000419,,protein_coding
ENSAMXG00000040443,,protein_coding
ENSAMXG00000000407,hccsa.1,protein_coding
ENSAMXG00000000400,RWDD3,protein_coding
ENSAMXG00000000378,ptbp2b,protein_coding
ENSAMXG00000039629,,protein_coding
ENSAMXG00000037203,,protein_coding
ENSAMXG00000005133,gabbr1a,protein_coding
ENSAMXG00000005117,tnfb,protein_coding
ENSAMXG00000033132,sh3bp5la,protein_coding
ENSAMXG00000043888,mgat1a,protein_coding
ENSAMXG00000026003,rnf183,protein_coding
ENSAMXG00000037090,,protein_coding
ENSAMXG00000005181,dhx16,protein_coding
ENSAMXG00000034281,zgc:66024,protein_coding
ENSAMXG00000005245,si:ch73-95l15.5,protein_coding
ENSAMXG00000039714,,protein_coding
ENSAMXG00000012031,robo1,protein_coding
ENSAMXG00000037750,,protein_coding
ENSAMXG00000011947,robo2,protein_coding
ENSAMXG00000011913,trpc2a,protein_coding
ENSAMXG00000011890,si:dkey-24p1.6,protein_coding
ENSAMXG00000038559,stim1a,protein_coding
ENSAMXG00000035561,rhogb,protein_coding
ENSAMXG00000043739,,protein_coding
